Saved checkpoint.
Global Step:   1410, accuracy:  40.3%, loss = 380702.16 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   1880, accuracy:  42.0%, loss = 291992.12 (99714.0 examples/sec, 0.00 sec/batch)
Global Step:   1890, accuracy:  45.3%, loss = 269371.19 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   1900, accuracy:  44.0%, loss = 305659.25 (119666.3 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   1910, accuracy:  45.7%, loss = 292284.47 (119825.8 examples/sec, 0.00 sec/batch)
Global Step:   1920, accuracy:  44.7%, loss = 269630.09 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:   1930, accuracy:  47.7%, loss = 277013.94 (99674.5 examples/sec, 0.00 sec/batch)
Global Step:   1940, accuracy:  49.3%, loss = 285736.28 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:   1950, accuracy:  47.0%, loss = 310429.81 (84830.5 examples/sec, 0.00 sec/batch)
Global Step:   1960, accuracy:  43.7%, loss = 340819.97 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   1970, accuracy:  47.0%, loss = 233621.25 (99650.8 examples/sec, 0.00 sec/batch)
Global Step:   1980, accuracy:  46.7%, loss = 270939.06 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   1990, accuracy:  39.0%, loss = 313290.72 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2000, accuracy:  41.0%, loss = 313604.06 (119711.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2010, accuracy:  46.0%, loss = 269431.72 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   2020, accuracy:  45.3%, loss = 301043.72 (100174.4 examples/sec, 0.00 sec/batch)
Global Step:   2030, accuracy:  47.3%, loss = 259209.39 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:   2040, accuracy:  38.3%, loss = 293492.41 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:   2050, accuracy:  46.7%, loss = 275528.59 (74809.2 examples/sec, 0.00 sec/batch)
Global Step:   2060, accuracy:  52.3%, loss = 235686.42 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   2070, accuracy:  44.3%, loss = 244805.86 (66484.8 examples/sec, 0.00 sec/batch)
Global Step:   2080, accuracy:  47.0%, loss = 242887.44 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2090, accuracy:  48.7%, loss = 250695.33 (85487.5 examples/sec, 0.00 sec/batch)
Global Step:   2100, accuracy:  46.0%, loss = 269628.25 (119677.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2110, accuracy:  49.0%, loss = 268359.25 (83391.3 examples/sec, 0.00 sec/batch)
Global Step:   2120, accuracy:  45.0%, loss = 230691.39 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:   2130, accuracy:  48.0%, loss = 283341.00 (121234.3 examples/sec, 0.00 sec/batch)
Global Step:   2140, accuracy:  43.7%, loss = 262462.75 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:   2150, accuracy:  49.0%, loss = 248765.69 (100832.7 examples/sec, 0.00 sec/batch)
Global Step:   2160, accuracy:  46.7%, loss = 250752.05 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   2170, accuracy:  54.3%, loss = 236439.52 (99919.9 examples/sec, 0.00 sec/batch)
Global Step:   2180, accuracy:  50.7%, loss = 245518.23 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:   2190, accuracy:  44.0%, loss = 275997.72 (120180.6 examples/sec, 0.00 sec/batch)
Global Step:   2200, accuracy:  44.0%, loss = 204887.02 (119654.9 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2210, accuracy:  43.7%, loss = 248598.77 (119746.0 examples/sec, 0.00 sec/batch)
Global Step:   2220, accuracy:  50.3%, loss = 224453.02 (99635.1 examples/sec, 0.00 sec/batch)
Global Step:   2230, accuracy:  47.3%, loss = 242395.20 (99375.4 examples/sec, 0.00 sec/batch)
Global Step:   2240, accuracy:  47.7%, loss = 259638.11 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2250, accuracy:  44.7%, loss = 265654.50 (102826.8 examples/sec, 0.00 sec/batch)
Global Step:   2260, accuracy:  47.0%, loss = 266268.88 (66439.2 examples/sec, 0.00 sec/batch)
Global Step:   2270, accuracy:  41.3%, loss = 291703.00 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:   2280, accuracy:  49.3%, loss = 218580.61 (53517.0 examples/sec, 0.01 sec/batch)
Global Step:   2290, accuracy:  47.7%, loss = 230865.89 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   2300, accuracy:  53.0%, loss = 190382.42 (98875.6 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2310, accuracy:  48.3%, loss = 242352.16 (83242.3 examples/sec, 0.00 sec/batch)
Global Step:   2320, accuracy:  47.3%, loss = 229811.31 (85539.9 examples/sec, 0.00 sec/batch)
Global Step:   2330, accuracy:  45.7%, loss = 212846.31 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:   2340, accuracy:  51.3%, loss = 204393.86 (85458.5 examples/sec, 0.00 sec/batch)
Global Step:   2350, accuracy:  46.3%, loss = 265007.09 (100832.7 examples/sec, 0.00 sec/batch)
Global Step:   2360, accuracy:  48.0%, loss = 222063.48 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:   2370, accuracy:  46.0%, loss = 263210.28 (119620.8 examples/sec, 0.00 sec/batch)
Global Step:   2380, accuracy:  49.7%, loss = 231114.56 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:   2390, accuracy:  52.0%, loss = 209029.30 (66544.6 examples/sec, 0.00 sec/batch)
Global Step:   2400, accuracy:  45.0%, loss = 247266.41 (119677.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2410, accuracy:  53.0%, loss = 180178.84 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:   2420, accuracy:  49.3%, loss = 188163.20 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:   2430, accuracy:  49.0%, loss = 226581.86 (66488.3 examples/sec, 0.00 sec/batch)
Global Step:   2440, accuracy:  48.7%, loss = 216612.20 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2450, accuracy:  47.0%, loss = 230166.94 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2460, accuracy:  46.0%, loss = 229953.89 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2470, accuracy:  46.7%, loss = 216073.86 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   2480, accuracy:  47.3%, loss = 249742.98 (149636.2 examples/sec, 0.00 sec/batch)
Global Step:   2490, accuracy:  49.3%, loss = 233251.47 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:   2500, accuracy:  48.7%, loss = 181608.64 (74800.3 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2510, accuracy:  48.3%, loss = 203457.73 (65182.9 examples/sec, 0.00 sec/batch)
Global Step:   2520, accuracy:  51.0%, loss = 204140.69 (60951.9 examples/sec, 0.00 sec/batch)
Global Step:   2530, accuracy:  51.0%, loss = 197743.25 (99721.9 examples/sec, 0.00 sec/batch)
Global Step:   2540, accuracy:  49.7%, loss = 200945.59 (83264.4 examples/sec, 0.00 sec/batch)
Global Step:   2550, accuracy:  48.7%, loss = 259291.12 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   2560, accuracy:  47.7%, loss = 183408.88 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   2570, accuracy:  53.0%, loss = 197397.20 (85528.2 examples/sec, 0.00 sec/batch)
Global Step:   2580, accuracy:  49.7%, loss = 199189.95 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:   2590, accuracy:  50.0%, loss = 185307.33 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:   2600, accuracy:  50.0%, loss = 212702.45 (119632.2 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2610, accuracy:  47.7%, loss = 224526.08 (100792.3 examples/sec, 0.00 sec/batch)
Global Step:   2620, accuracy:  49.3%, loss = 223115.41 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:   2630, accuracy:  53.3%, loss = 201922.89 (119768.8 examples/sec, 0.00 sec/batch)
Global Step:   2640, accuracy:  54.3%, loss = 170302.94 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   2650, accuracy:  54.0%, loss = 178124.34 (59841.7 examples/sec, 0.01 sec/batch)
Global Step:   2660, accuracy:  45.7%, loss = 242586.67 (99682.4 examples/sec, 0.00 sec/batch)
Global Step:   2670, accuracy:  53.7%, loss = 182997.05 (120284.0 examples/sec, 0.00 sec/batch)
Global Step:   2680, accuracy:  53.0%, loss = 198409.25 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   2690, accuracy:  43.3%, loss = 237895.12 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2700, accuracy:  45.0%, loss = 215674.77 (59841.7 examples/sec, 0.01 sec/batch)
Saved checkpoint.
Global Step:   2710, accuracy:  47.7%, loss = 225870.94 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   2720, accuracy:  49.3%, loss = 205883.75 (119917.2 examples/sec, 0.00 sec/batch)
Global Step:   2730, accuracy:  48.3%, loss = 202740.38 (100784.2 examples/sec, 0.00 sec/batch)
Global Step:   2740, accuracy:  50.0%, loss = 180483.64 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   2750, accuracy:  50.0%, loss = 205141.28 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   2760, accuracy:  53.3%, loss = 202246.20 (73834.7 examples/sec, 0.00 sec/batch)
Global Step:   2770, accuracy:  50.7%, loss = 176824.14 (99769.4 examples/sec, 0.00 sec/batch)
Global Step:   2780, accuracy:  54.0%, loss = 209974.02 (66495.3 examples/sec, 0.00 sec/batch)
Global Step:   2790, accuracy:  52.3%, loss = 170172.28 (87771.4 examples/sec, 0.00 sec/batch)
Global Step:   2800, accuracy:  51.3%, loss = 184877.66 (99737.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2810, accuracy:  55.7%, loss = 183632.41 (84710.6 examples/sec, 0.00 sec/batch)
Global Step:   2820, accuracy:  55.7%, loss = 180322.59 (98767.0 examples/sec, 0.00 sec/batch)
Global Step:   2830, accuracy:  52.3%, loss = 186628.50 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   2840, accuracy:  53.0%, loss = 186009.86 (119246.7 examples/sec, 0.00 sec/batch)
Global Step:   2850, accuracy:  56.0%, loss = 187608.80 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   2860, accuracy:  51.3%, loss = 190234.86 (99769.4 examples/sec, 0.00 sec/batch)
Global Step:   2870, accuracy:  54.0%, loss = 189662.22 (99698.2 examples/sec, 0.00 sec/batch)
Global Step:   2880, accuracy:  47.7%, loss = 192750.30 (120008.7 examples/sec, 0.00 sec/batch)
Global Step:   2890, accuracy:  53.0%, loss = 156917.75 (46033.9 examples/sec, 0.01 sec/batch)
Global Step:   2900, accuracy:  55.0%, loss = 185856.98 (99745.6 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   2910, accuracy:  52.0%, loss = 184870.22 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   2920, accuracy:  50.0%, loss = 194850.94 (66477.8 examples/sec, 0.00 sec/batch)
Global Step:   2930, accuracy:  54.7%, loss = 168478.41 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   2940, accuracy:  46.7%, loss = 183791.30 (99777.3 examples/sec, 0.00 sec/batch)
Global Step:   2950, accuracy:  58.3%, loss = 163260.95 (85470.1 examples/sec, 0.00 sec/batch)
Global Step:   2960, accuracy:  52.7%, loss = 165431.56 (74795.9 examples/sec, 0.00 sec/batch)
Global Step:   2970, accuracy:  52.3%, loss = 192229.22 (119609.4 examples/sec, 0.00 sec/batch)
Global Step:   2980, accuracy:  57.3%, loss = 148663.61 (85487.5 examples/sec, 0.00 sec/batch)
Global Step:   2990, accuracy:  51.0%, loss = 205148.77 (85516.6 examples/sec, 0.00 sec/batch)
Global Step:   3000, accuracy:  52.0%, loss = 178870.78 (99729.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3010, accuracy:  52.0%, loss = 152681.92 (119723.2 examples/sec, 0.00 sec/batch)
Global Step:   3020, accuracy:  55.3%, loss = 159077.12 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:   3030, accuracy:  47.7%, loss = 197150.33 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:   3040, accuracy:  59.3%, loss = 147449.17 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   3050, accuracy:  47.3%, loss = 184748.86 (149600.7 examples/sec, 0.00 sec/batch)
Global Step:   3060, accuracy:  45.0%, loss = 197844.92 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3070, accuracy:  48.7%, loss = 172607.47 (74800.3 examples/sec, 0.00 sec/batch)
Global Step:   3080, accuracy:  54.3%, loss = 186787.06 (119757.4 examples/sec, 0.00 sec/batch)
Global Step:   3090, accuracy:  50.0%, loss = 178623.78 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3100, accuracy:  54.0%, loss = 152135.48 (119746.0 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3110, accuracy:  53.3%, loss = 156292.20 (65896.4 examples/sec, 0.00 sec/batch)
Global Step:   3120, accuracy:  53.7%, loss = 146839.94 (100824.6 examples/sec, 0.00 sec/batch)
Global Step:   3130, accuracy:  53.0%, loss = 180981.75 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:   3140, accuracy:  56.0%, loss = 165171.41 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:   3150, accuracy:  51.3%, loss = 158330.72 (74858.2 examples/sec, 0.00 sec/batch)
Global Step:   3160, accuracy:  53.3%, loss = 174774.72 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:   3170, accuracy:  52.7%, loss = 173189.02 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   3180, accuracy:  51.0%, loss = 200709.61 (119495.8 examples/sec, 0.00 sec/batch)
Global Step:   3190, accuracy:  55.0%, loss = 143786.14 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   3200, accuracy:  53.7%, loss = 156798.14 (119620.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3210, accuracy:  51.7%, loss = 164426.23 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3220, accuracy:  58.3%, loss = 145357.44 (53494.2 examples/sec, 0.01 sec/batch)
Global Step:   3230, accuracy:  54.3%, loss = 151569.47 (54085.2 examples/sec, 0.01 sec/batch)
Global Step:   3240, accuracy:  52.3%, loss = 155284.92 (59836.0 examples/sec, 0.01 sec/batch)
Global Step:   3250, accuracy:  53.0%, loss = 180700.86 (120272.5 examples/sec, 0.00 sec/batch)
Global Step:   3260, accuracy:  50.7%, loss = 145581.80 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:   3270, accuracy:  51.7%, loss = 164493.55 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3280, accuracy:  55.3%, loss = 147449.80 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   3290, accuracy:  57.3%, loss = 149355.41 (99832.7 examples/sec, 0.00 sec/batch)
Global Step:   3300, accuracy:  59.3%, loss = 122434.40 (100784.2 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3310, accuracy:  52.7%, loss = 165755.12 (85481.7 examples/sec, 0.00 sec/batch)
Global Step:   3320, accuracy:  51.3%, loss = 162641.50 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:   3330, accuracy:  48.3%, loss = 155420.86 (85481.7 examples/sec, 0.00 sec/batch)
Global Step:   3340, accuracy:  55.7%, loss = 133961.84 (119711.8 examples/sec, 0.00 sec/batch)
Global Step:   3350, accuracy:  56.0%, loss = 146448.80 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:   3360, accuracy:  53.3%, loss = 180522.23 (149547.3 examples/sec, 0.00 sec/batch)
Global Step:   3370, accuracy:  51.3%, loss = 151114.17 (149618.5 examples/sec, 0.00 sec/batch)
Global Step:   3380, accuracy:  54.0%, loss = 139845.91 (149547.3 examples/sec, 0.00 sec/batch)
Global Step:   3390, accuracy:  54.7%, loss = 152040.38 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3400, accuracy:  52.7%, loss = 179865.62 (149547.3 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3410, accuracy:  59.3%, loss = 128645.08 (74791.4 examples/sec, 0.00 sec/batch)
Global Step:   3420, accuracy:  58.0%, loss = 133186.98 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:   3430, accuracy:  57.7%, loss = 155491.06 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   3440, accuracy:  54.0%, loss = 146637.72 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:   3450, accuracy:  53.0%, loss = 139709.09 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:   3460, accuracy:  54.0%, loss = 151490.80 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3470, accuracy:  56.7%, loss = 135996.56 (85487.5 examples/sec, 0.00 sec/batch)
Global Step:   3480, accuracy:  54.3%, loss = 133677.36 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   3490, accuracy:  59.3%, loss = 135175.52 (66379.6 examples/sec, 0.00 sec/batch)
Global Step:   3500, accuracy:  51.0%, loss = 132044.34 (119246.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3510, accuracy:  60.7%, loss = 122871.04 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   3520, accuracy:  56.3%, loss = 135165.53 (84979.5 examples/sec, 0.00 sec/batch)
Global Step:   3530, accuracy:  52.7%, loss = 161403.33 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:   3540, accuracy:  53.0%, loss = 135616.36 (73489.7 examples/sec, 0.00 sec/batch)
Global Step:   3550, accuracy:  58.3%, loss = 139683.81 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3560, accuracy:  57.7%, loss = 128417.04 (119837.3 examples/sec, 0.00 sec/batch)
Global Step:   3570, accuracy:  56.7%, loss = 121473.16 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:   3580, accuracy:  55.3%, loss = 130024.17 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   3590, accuracy:  57.0%, loss = 139117.23 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   3600, accuracy:  55.0%, loss = 149364.72 (119575.3 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3610, accuracy:  53.3%, loss = 140455.70 (66498.8 examples/sec, 0.00 sec/batch)
Global Step:   3620, accuracy:  55.7%, loss = 128507.66 (119620.8 examples/sec, 0.00 sec/batch)
Global Step:   3630, accuracy:  55.3%, loss = 119800.68 (119837.3 examples/sec, 0.00 sec/batch)
Global Step:   3640, accuracy:  54.3%, loss = 157473.12 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:   3650, accuracy:  55.3%, loss = 134788.30 (100816.5 examples/sec, 0.00 sec/batch)
Global Step:   3660, accuracy:  58.3%, loss = 124083.13 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   3670, accuracy:  54.7%, loss = 149925.48 (119711.8 examples/sec, 0.00 sec/batch)
Global Step:   3680, accuracy:  56.0%, loss = 132164.11 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:   3690, accuracy:  55.0%, loss = 145176.53 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3700, accuracy:  53.3%, loss = 153246.98 (99769.4 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3710, accuracy:  57.7%, loss = 130086.92 (99682.4 examples/sec, 0.00 sec/batch)
Global Step:   3720, accuracy:  59.3%, loss = 117018.11 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:   3730, accuracy:  59.0%, loss = 122092.75 (53635.6 examples/sec, 0.01 sec/batch)
Global Step:   3740, accuracy:  57.7%, loss = 124703.49 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   3750, accuracy:  58.0%, loss = 133533.56 (118583.7 examples/sec, 0.00 sec/batch)
Global Step:   3760, accuracy:  57.7%, loss = 127238.21 (102818.4 examples/sec, 0.00 sec/batch)
Global Step:   3770, accuracy:  62.0%, loss = 96390.16 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:   3780, accuracy:  63.3%, loss = 120558.12 (102919.3 examples/sec, 0.00 sec/batch)
Global Step:   3790, accuracy:  58.3%, loss = 120789.30 (100792.3 examples/sec, 0.00 sec/batch)
Global Step:   3800, accuracy:  55.0%, loss = 121748.77 (99729.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3810, accuracy:  56.7%, loss = 124313.43 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   3820, accuracy:  59.0%, loss = 121836.93 (119066.2 examples/sec, 0.00 sec/batch)
Global Step:   3830, accuracy:  60.3%, loss = 119645.36 (74809.2 examples/sec, 0.00 sec/batch)
Global Step:   3840, accuracy:  56.0%, loss = 118574.72 (99690.3 examples/sec, 0.00 sec/batch)
Global Step:   3850, accuracy:  50.7%, loss = 140088.27 (85505.0 examples/sec, 0.00 sec/batch)
Global Step:   3860, accuracy:  54.0%, loss = 134191.44 (66491.8 examples/sec, 0.00 sec/batch)
Global Step:   3870, accuracy:  54.7%, loss = 136904.84 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:   3880, accuracy:  59.7%, loss = 113062.21 (85048.4 examples/sec, 0.00 sec/batch)
Global Step:   3890, accuracy:  57.3%, loss = 117993.59 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   3900, accuracy:  54.0%, loss = 124056.68 (99721.9 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   3910, accuracy:  48.3%, loss = 126943.84 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   3920, accuracy:  55.0%, loss = 140789.59 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:   3930, accuracy:  55.0%, loss = 118116.36 (73122.5 examples/sec, 0.00 sec/batch)
Global Step:   3940, accuracy:  57.3%, loss = 110508.50 (74787.0 examples/sec, 0.00 sec/batch)
Global Step:   3950, accuracy:  60.0%, loss = 102761.25 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   3960, accuracy:  65.0%, loss = 95256.95 (66236.3 examples/sec, 0.00 sec/batch)
Global Step:   3970, accuracy:  64.7%, loss = 102416.84 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   3980, accuracy:  54.0%, loss = 155647.14 (74831.5 examples/sec, 0.00 sec/batch)
